Random waveform, random seed
Total number of intervals = 120 (33741, 63626, 6153, 70102, 76436, 48453, 47762, 84320, 51357, 33195, 10837, 44484, 10082, 57964, 80354, 64602, 34684, 50986, 85344, 39487, 31056, 82936, 105728, 18879, 67647, 76613, 82263, 22970, 56968, 48160, 62998, 66787, 6028, 65483, 28540, 105511, 50585, 65396, 42147, 5798, 90281, 61752, 14765, 14060, 30031, 76840, 22746, 72869, 62281, 79354, 61587, 75385, 37281, 11855, 36983, 50848, 87503, 93239, 16192, 58425, 58215, 96939, 36103, 62946, 32061, 60857, 86906, 36690, 68079, 95402, 32592, 63586, 78866, 57706, 51056, 107026, 93240, 25721, 91205, 58143, 45166, 32836, 68273, 87645, 72959, 99624, 5066, 77539, 6387, 19378, 52897, 72684, 100068, 14122, 30183, 102468, 36493, 108778, 38862, 21347, 68703, 84155, 10585, 12570, 83274, 102564, 78183, 14824, 66467, 95413, 9526, 58648, 35552, 38250, 32747, 43793, 52836, 108469, 89925, 65554)
Average QPS expected = 55657
Timestamp start: 1778958776906
Timestamp end: 1778960577219

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      324.2   127.1   127.6   186.4   201.3   309.4   362.0   389.8   409.2   433.0   463.6   508.8   622.1   879.0  3858.7  50626.0    50585
read      325.7   137.7   127.6   184.8   199.5   303.7   359.3   390.0   412.3   439.4   475.5   536.2   678.0  1070.3  4245.4  65465.7    65396
read      325.3   113.1   127.6   189.4   205.1   315.2   363.4   389.0   406.6   429.0   457.3   499.7   595.1   790.5  3081.1  42238.3    42147
read      290.8   172.6   148.8   196.8   209.2   274.3   303.1   319.0   332.0   345.9   367.8   402.6   526.9  2410.9  7703.1   5785.5     5798
read      470.6   621.4   127.6   197.1   216.8   333.2   398.2   444.1   485.1   546.2   653.7   990.4  3604.8  7592.3  9700.0  90175.1    90281
read      324.5   126.9   127.6   184.9   199.5   304.8   359.7   389.7   411.4   437.3   471.8   529.9   661.9   931.7  3071.6  61854.9    61752
read      337.4   131.1   137.8   198.0   217.6   324.3   368.2   392.4   409.5   430.8   458.8   501.5   641.8  1595.8  4231.3  14692.6    14765
read      341.0   163.0   137.8   197.5   216.9   327.4   371.9   395.9   413.3   433.6   461.0   502.8   647.3  2018.4  6384.1  14084.0    14060
read      400.1   281.0   137.8   191.1   211.3   362.2   433.0   470.9   498.4   531.3   578.7   652.0  1243.8  3764.7  7815.7  30013.7    30031
read      411.7   561.0   127.6   188.7   204.7   312.1   370.5   405.4   434.0   470.8   530.6   667.3  3377.4  7444.5 10010.0  76825.3    76840
read      325.7   103.5   137.8   202.2   220.7   319.4   357.0   376.8   392.4   409.6   432.5   467.9   545.0   780.4  3765.6  22697.9    22746
read      324.2   133.9   127.6   184.9   199.4   301.0   356.4   387.4   409.6   436.9   473.7   537.6   686.5  1097.1  3027.4  72824.7    72869
read      324.1   121.9   127.6   185.5   200.0   304.1   359.6   389.9   411.7   437.9   471.4   526.8   656.4   973.7  3141.9  62271.8    62281
read      337.8   160.4   127.6   186.0   201.1   306.0   363.7   396.9   423.0   456.1   502.7   593.2   839.8  1585.3  4053.9  79409.1    79354
read      325.0   138.0   127.6   184.1   198.6   303.7   359.4   390.0   412.1   438.6   472.9   531.2   668.8  1184.5  4403.9  61625.5    61587
read      329.9   142.9   127.6   185.5   200.2   303.1   359.7   391.6   415.5   445.5   486.7   560.2   742.1  1306.0  3477.7  75212.4    75385
read      328.6   113.0   127.6   191.5   208.2   320.0   367.0   391.9   409.3   430.5   458.1   498.6   590.1   780.6  3188.9  37196.6    37281
read      338.5   206.9   137.8   203.3   221.8   318.7   359.8   382.5   398.8   419.5   445.9   491.0   719.2  2673.2  7997.0  11892.8    11855
read      518.8   701.7   137.8   196.3   220.4   389.1   479.4   532.6   575.9   625.7   691.5   954.5  3888.9  8632.7 11429.7  37007.9    36983
read      351.9   302.9   127.6   185.1   200.1   308.0   361.9   391.2   412.2   437.1   472.0   537.8  1604.0  4148.1  7771.4  50839.8    50848
read      339.1   157.9   127.6   186.9   202.2   306.4   363.9   397.3   423.7   457.4   504.8   596.6   867.1  1564.4  3255.8  87385.8    87503
read      355.8   193.3   127.6   189.0   205.1   311.9   370.9   407.1   436.6   476.9   541.1   664.2  1078.6  1973.3  3901.3  93209.2    93239
read      348.3   156.0   137.8   198.2   218.0   331.6   380.4   406.8   426.5   449.3   478.0   526.3   690.6  2028.2  4041.0  16212.1    16192
read      391.1   580.7   127.6   184.0   199.1   304.0   357.3   387.5   409.1   436.2   472.7   545.9  3444.6  7730.6 10564.4  58423.9    58425
read      319.9   125.6   127.6   183.0   197.4   301.7   356.1   385.6   405.8   431.4   463.9   512.6   633.4   950.5  3441.1  58253.2    58215
read      377.8   256.3   127.6   191.2   208.1   316.7   377.2   417.6   452.2   501.6   587.8   756.9  1378.0  2743.7  7384.1  96903.7    96939
read      319.7   104.5   127.6   189.4   205.4   313.0   356.9   379.8   396.1   415.5   438.9   476.1   553.3   738.8  3184.7  36112.7    36103
read      315.2   117.4   127.6   182.1   196.2   296.9   351.2   380.4   400.8   426.1   458.2   505.4   620.0   833.6  2998.4  62905.8    62946
read      326.4   103.4   127.6   193.3   210.7   320.1   363.6   386.5   401.9   422.5   447.4   484.8   560.8   725.7  3092.2  32010.2    32061
read      318.2   116.9   127.6   183.1   197.5   299.9   354.8   384.4   404.6   430.5   462.9   510.5   627.2   848.0  2163.0  60858.2    60857
read      345.8   175.5   127.6   186.9   202.4   307.5   366.5   401.2   429.6   465.6   520.7   628.0   968.8  1814.9  3556.9  86896.1    86906
read      323.5   103.0   127.6   190.5   206.7   315.9   362.1   386.3   402.7   423.9   449.4   487.0   567.8   721.2  2354.3  36729.9    36690
read      320.7   134.6   127.6   182.8   197.2   298.8   353.7   383.9   405.0   432.3   466.8   523.0   662.2  1249.4  3835.0  68162.4    68079
read      378.5   251.8   127.6   191.5   208.7   319.0   380.7   421.3   455.6   503.6   587.0   748.2  1353.4  2754.4  7017.6  95543.2    95402
read      328.2   104.2   127.6   193.2   210.7   321.5   365.7   389.3   405.0   426.0   451.5   489.8   572.7   778.2  3108.8  32588.3    32592
read      321.4   124.5   127.6   183.5   198.2   301.7   356.7   386.7   407.6   433.9   467.5   520.8   642.8   959.4  3441.3  63665.3    63586
read      332.0   144.9   127.6   184.6   199.7   304.4   361.6   393.8   418.2   448.9   491.4   569.4   766.7  1346.2  3464.6  78757.7    78866
