Random waveform, random seed
Total number of intervals = 120 (22276, 35818, 108687, 83881, 18508, 34794, 11141, 7002, 65334, 44199, 48716, 53210, 93149, 74825, 75173, 36210, 71882, 69777, 62878, 33743, 85944, 51806, 16021, 21723, 93121, 17578, 51217, 81476, 34359, 44895, 100441, 97154, 77687, 74468, 60879, 48077, 24328, 93223, 58981, 69731, 30602, 7037, 20626, 38747, 81503, 67423, 93790, 34403, 61447, 24710, 109148, 62367, 61372, 37856, 26540, 104487, 47637, 79148, 67156, 9741, 96307, 23503, 91112, 71099, 34102, 30715, 27436, 37175, 30002, 8810, 99711, 7566, 87019, 57445, 79994, 105254, 22427, 63136, 77622, 44205, 41639, 71520, 60158, 96704, 83235, 77748, 59651, 90622, 24974, 27461, 32505, 70109, 85491, 89686, 45019, 81077, 33551, 10450, 54557, 43621, 105293, 47087, 82489, 47499, 70628, 85884, 90305, 55157, 48414, 24835, 108353, 36501, 37550, 30233, 108116, 37878, 77451, 100545, 62066, 37451)
Average QPS expected = 57401
Timestamp start: 1778956592445
Timestamp end: 1778958392749

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      348.5   280.9   127.6   195.2   213.9   318.7   363.6   390.3   410.0   434.7   469.9   529.9   855.0  3856.1 10931.4  22190.8    22276
read      404.6   341.8   127.6   187.2   206.0   353.0   431.5   474.6   503.9   539.3   588.4   667.1  1576.5  5099.6  8020.3  35921.9    35818
read      443.3   452.5   127.6   200.0   219.4   333.1   399.7   449.2   494.7   566.8   694.0  1025.4  2424.2  5826.4  8349.2 108598.0   108687
read      326.2   145.8   127.6   182.2   196.6   294.9   351.8   385.1   409.9   442.1   488.6   572.8   785.5  1352.4  3415.7  83889.6    83881
read      339.5   164.8   127.6   192.0   209.9   321.2   370.4   397.6   417.5   439.9   469.9   518.6   687.2  2110.9  6341.0  18501.8    18508
read      395.5   305.4   127.6   187.0   205.8   351.2   428.0   469.9   498.8   532.7   579.2   650.4  1258.5  4661.9  7891.4  34819.3    34794
read      319.9   133.3   137.8   198.3   214.2   306.1   346.1   368.5   384.7   402.6   428.3   468.3   590.8  1661.9  4338.6  11147.7    11141
read      294.5   122.0   148.8   197.6   210.3   280.6   312.6   330.7   343.5   360.7   382.2   418.2   526.4  1530.2  4940.5   6997.5     7002
read      375.3   500.4   127.6   180.7   194.9   293.4   349.1   380.9   403.8   434.0   478.3   566.3  2902.5  6930.2  9270.3  65264.4    65334
read      314.5   106.5   127.6   183.7   198.6   304.9   352.5   377.0   395.0   416.0   442.2   484.9   571.6   726.1  2159.3  44157.1    44199
