Random waveform, random seed
Total number of intervals = 120 (8794, 40063, 46840, 31371, 23169, 33123, 74093, 43746, 109504, 55683, 74168, 50019, 7093, 8709, 77678, 39158, 72064, 68204, 89201, 71080, 26386, 23025, 26336, 33536, 83654, 88285, 11070, 82737, 106734, 24635, 109672, 54427, 67566, 86347, 91773, 40716, 104275, 56083, 83595, 39137, 30782, 96113, 14665, 8153, 92867, 61763, 91275, 84624, 12890, 104685, 25802, 77930, 70019, 37571, 56571, 92477, 15059, 25506, 50922, 70175, 29286, 50147, 64756, 95414, 26577, 87793, 41309, 94067, 73425, 63130, 66354, 83690, 60643, 59558, 105037, 50454, 71944, 59429, 33193, 88062, 46874, 66794, 18645, 24428, 83450, 23341, 90106, 62399, 79400, 97184, 54232, 39714, 67459, 67304, 90627, 98099, 107108, 9823, 20059, 60275, 75431, 67923, 91363, 87246, 85280, 7187, 16998, 65430, 85379, 106654, 30909, 24090, 87501, 75423, 43571, 108470, 107055, 55599, 32411, 70582)
Average QPS expected = 60164
Timestamp start: 1778954570704
Timestamp end: 1778956371021

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      382.6   275.8   127.6   190.6   207.4   310.2   367.5   407.1   444.9   505.3   616.2   841.8  1518.8  2809.5  7095.1 104219.0   104275
read      312.6   123.4   127.6   180.1   194.2   295.5   347.7   376.1   396.7   421.1   452.9   500.4   601.6   843.1  4118.0  56098.4    56083
read      322.2   142.7   127.6   181.5   195.9   293.7   347.8   379.7   403.5   435.0   480.7   554.6   737.4  1262.5  3497.3  83563.5    83595
read      316.0   105.3   127.6   186.6   201.7   307.4   352.3   376.0   393.7   413.8   438.5   479.0   560.0   745.1  2963.6  39086.5    39137
read      320.1    97.7   127.6   191.9   208.9   313.7   355.2   377.2   393.6   412.1   434.7   471.9   546.5   711.0  2114.1  30768.4    30782
read      346.1   183.0   127.6   187.7   203.3   304.9   360.8   395.8   425.2   466.1   529.7   641.9   972.1  1874.6  4325.4  96129.3    96113
read      321.7   117.0   137.8   193.9   211.3   310.1   351.0   373.7   390.8   409.4   433.9   474.9   590.4  1496.8  2992.2  14678.1    14665
read      294.2   120.0   137.8   197.7   211.1   282.3   313.6   331.3   343.6   360.0   380.0   413.9   507.5  1383.6  3994.8   8181.9     8153
read      385.9   427.7   127.6   187.3   203.1   306.6   363.4   399.4   430.5   474.7   545.5   689.6  2382.1  5781.4  8754.9  92737.0    92867
read      314.9   122.5   127.6   180.5   194.6   294.4   348.2   378.5   400.4   427.0   461.9   512.8   630.8   975.3  3131.0  61736.9    61763
read      338.0   173.2   127.6   183.9   198.9   298.2   354.6   389.5   417.9   457.2   514.7   623.0   940.2  1783.7  3670.2  91145.9    91275
read      324.6   142.1   127.6   182.2   196.7   294.9   349.5   381.9   406.2   438.7   486.0   565.5   759.6  1333.7  3582.1  84511.9    84624
read      319.0   107.5   137.8   196.0   213.0   308.3   347.5   369.5   385.6   403.0   428.5   468.1   580.5  1348.2  2898.1  12854.1    12890
read      529.8   717.7   127.6   205.1   225.4   341.4   402.7   449.9   494.9   573.3   780.6  1635.1  3755.0  7784.6 10816.1 104727.7   104685
read      322.3   100.8   127.6   195.6   213.8   316.2   355.6   376.5   392.5   410.1   433.0   469.2   545.3   758.1  2641.8  25851.5    25802
read      315.8   127.7   127.6   180.2   194.2   291.0   344.3   374.8   398.1   427.1   467.1   532.7   682.9  1167.8  2966.9  77893.9    77930
read      313.2   121.3   127.6   179.8   193.6   291.2   344.4   374.3   397.1   424.7   461.8   520.0   651.1   925.2  2512.4  69895.4    70019
read      319.0   106.9   127.6   187.9   203.4   310.6   356.6   380.9   398.1   418.8   444.1   483.6   559.7   737.8  2904.1  37598.6    37571
read      311.8   115.0   127.6   180.4   194.4   294.5   346.9   375.6   396.5   421.1   452.8   499.7   599.4   826.5  2803.3  56544.8    56571
read      340.5   174.9   127.6   184.7   199.9   300.9   357.3   392.4   421.2   460.6   520.2   628.3   946.5  1712.0  3929.4  92371.2    92477
read      324.8   130.1   137.8   194.0   211.6   312.4   354.6   377.5   394.4   414.0   438.5   480.7   606.6  1589.7  3920.3  15014.6    15059
read      358.4   191.3   127.6   187.1   204.5   335.4   397.5   430.0   453.6   480.1   510.8   566.9   798.9  2753.3  5200.6  25535.3    25506
read      342.6   255.1   127.6   181.8   197.2   309.2   365.4   396.6   420.2   449.4   490.3   565.0   864.0  3290.4  9900.0  50863.2    50922
read      311.2   130.7   127.6   177.9   191.4   289.0   341.9   371.1   393.2   420.0   456.9   515.4   659.5  1104.5  3321.4  70041.9    70175
read      315.1    94.1   127.6   190.5   207.4   309.4   348.5   369.8   385.4   402.4   426.5   462.9   537.9   704.5  2802.8  29233.3    29286
read      316.1   119.8   127.6   181.1   195.9   301.3   352.8   380.5   399.9   423.6   454.1   499.9   602.3   916.2  3402.6  50241.9    50147
read      313.3   127.0   127.6   178.9   192.8   292.5   346.1   376.0   398.0   424.5   459.5   511.7   635.9  1019.6  3661.4  64779.2    64756
read      346.4   187.5   127.6   185.5   201.0   302.5   359.4   395.1   425.2   467.0   532.9   652.2  1024.5  1951.6  4012.8  95475.8    95414
read      321.5    98.2   127.6   195.5   213.5   315.0   354.8   375.7   391.7   409.2   432.6   469.3   547.4   730.4  3036.6  26590.6    26577
read      328.9   160.2   127.6   181.1   195.7   295.6   350.5   383.2   408.2   442.4   492.6   583.1   856.0  1662.7  3809.7  87630.6    87793
read      311.1   104.6   127.6   182.5   197.5   303.2   348.1   371.5   388.6   407.2   432.5   470.7   549.6   741.4  2529.0  41291.7    41309
read      339.1   171.1   127.6   184.9   200.3   301.2   356.9   391.2   419.1   457.6   513.0   618.5   929.4  1777.1  3920.5  94019.9    94067
read      311.4   127.8   127.6   178.8   192.5   288.5   341.8   371.6   394.3   421.4   457.7   513.9   649.7  1078.6  3412.0  73369.1    73425
read      310.9   116.8   127.6   179.7   193.4   292.2   345.1   373.9   395.0   419.9   452.5   502.7   622.3   883.6  2395.6  63137.0    63130
read      313.4   127.7   127.6   180.0   193.7   292.0   345.6   375.5   397.4   423.6   458.5   511.6   642.0  1012.9  3360.2  66443.9    66354
read      322.5   147.0   127.6   181.8   196.1   293.3   347.3   379.3   402.7   433.5   477.1   549.5   752.3  1495.7  3463.8  83583.0    83690
read      311.5   112.5   127.6   180.6   194.5   293.0   346.4   375.4   396.4   421.2   453.3   501.4   609.3   852.0  2584.5  60604.7    60643
read      309.2   123.6   127.6   179.3   192.9   291.8   343.5   371.1   391.3   414.8   445.8   495.5   606.9   870.5  3425.0  59596.2    59558
read      384.4   288.7   127.6   191.3   208.2   310.7   367.8   406.7   443.8   501.5   605.5   836.5  1618.8  2943.6  7396.0 104896.2   105037
read      312.7   106.1   127.6   182.1   196.6   299.2   350.0   377.1   396.5   419.1   447.4   490.5   576.2   746.6  2719.8  50497.5    50454
read      311.3   120.0   127.6   180.1   193.9   289.5   342.5   372.2   394.5   421.1   456.3   509.2   636.9   999.1  2702.0  71834.2    71944
read      311.9   112.1   127.6   180.4   194.3   294.1   347.0   376.1   397.2   422.0   454.0   501.6   609.7   822.4  2263.0  59399.7    59429
read      317.1    96.3   127.6   190.1   206.1   310.8   353.1   375.3   391.9   410.1   433.2   469.8   543.3   701.5  2631.4  33148.3    33193
read      325.1   153.6   127.6   182.2   196.6   294.1   348.1   380.1   404.2   436.7   486.2   571.3   783.3  1405.5  4002.8  87893.1    88062
read      307.0   104.0   127.6   180.3   194.4   296.7   343.5   368.0   385.5   404.5   431.5   471.9   558.7   737.0  2731.2  46907.3    46874
read      311.7   121.1   127.6   179.5   193.3   291.0   343.6   372.7   394.4   420.6   455.5   508.2   637.8  1061.3  3194.7  66813.5    66794
read      351.1   243.9   127.6   193.0   211.3   323.3   373.5   401.0   421.5   445.4   476.7   528.8   848.2  3821.0  7630.3  18672.9    18645
read      430.5   538.6   127.6   192.1   211.3   347.7   414.7   451.3   477.3   506.5   548.2   660.8  2785.9  7532.3  9747.3  24429.8    24428
read      353.8   382.1   127.6   183.2   197.9   295.6   349.8   382.3   406.5   438.3   485.2   570.5  1601.9  5542.3  9331.9  83383.5    83450
read      331.7   141.4   127.6   202.6   221.1   321.2   361.0   382.6   397.7   416.4   438.8   480.2   589.1  1532.0  7148.4  23389.5    23341
