Random waveform, supplied seed
Total number of intervals = 360 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330)
Average QPS expected = 57436
Timestamp start: 1778960935070
Timestamp end: 1778962735448

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      342.5   148.9   137.8   196.2   216.5   323.2   368.1   395.3   416.2   441.7   474.5   533.3   692.6  1884.2  3949.4  20861.6    20774
read      726.1  1158.6   127.6   231.9   259.3   373.5   444.1   503.2   564.2   669.1  1432.3  3327.2  6500.1  9236.1 12493.2  96688.6    96726
read      319.8   154.3   127.6   187.7   203.6   308.2   349.2   371.6   388.3   406.6   433.2   471.8   596.9  2143.1  7120.2  32434.2    32442
read      322.7   139.9   127.6   179.0   193.6   299.3   354.5   385.3   407.4   436.0   473.9   543.6   705.2  1228.3  3694.2  73223.8    73039
read      327.7   161.4   127.6   179.3   194.0   299.8   356.5   388.3   412.1   443.0   484.6   562.4   752.9  1692.0  4776.8  74103.6    74055
read      319.1   126.3   127.6   179.8   194.6   305.1   356.7   384.2   403.1   428.2   459.7   508.1   626.6   830.0  4061.1  50970.8    51197
read      320.8   123.7   127.6   179.9   194.7   302.8   357.0   386.6   407.2   433.7   466.9   522.9   653.0   943.4  3173.6  59426.0    59442
read      323.2    99.6   127.6   188.6   205.2   316.3   361.5   385.5   401.8   423.3   449.6   488.5   573.2   715.1  1608.5  35681.6    35654
read      337.3   169.9   118.1   182.4   197.9   305.6   363.6   397.5   424.8   458.8   505.2   593.4   825.2  1667.6  6259.1  78532.6    78747
read      318.0   106.2   127.6   183.5   199.0   309.6   357.1   381.8   398.9   420.7   447.8   488.3   577.8   733.2  2175.0  42303.6    42212
read      319.5   121.6   127.6   181.7   196.9   304.2   356.9   385.3   404.6   429.7   460.8   506.2   617.5   877.0  3144.6  52389.2    52488
read      326.7   113.7   127.6   188.9   205.7   317.7   364.6   389.6   406.7   429.3   456.8   496.8   586.2   820.6  3191.6  37052.6    36950
read      830.4  2627.1   137.8   203.2   225.2   345.1   400.1   435.0   463.0   501.2   592.1  1846.9 15667.4 29654.0 32417.6  16870.6    16762
read      793.3  1280.1   127.6   221.5   247.6   360.7   435.1   507.1   593.4   869.9  1934.4  3535.8  6941.3  9760.8 14642.0  79307.2    79473
read      315.6   128.5   127.6   179.0   193.5   297.6   351.2   380.0   400.4   426.5   459.3   509.1   633.2   882.2  4171.1  61280.4    61431
read      351.7   179.9   127.6   185.3   201.7   312.6   372.0   407.8   437.2   476.9   539.7   652.0   970.2  1769.8  4003.1  87089.6    87172
read      485.6   517.8   127.6   205.5   227.8   345.9   409.2   457.6   503.5   582.5   755.9  1399.0  2944.5  5717.1  8127.7 108309.4   108181
read      333.0   146.6   127.6   182.9   198.3   305.6   362.3   394.8   420.2   451.8   495.4   575.8   765.3  1405.7  3815.0  80631.4    80515
read      326.4   119.5   127.6   188.6   205.2   317.8   363.5   387.8   404.2   426.5   453.9   495.8   593.4   957.9  3452.3  37188.4    37149
read      339.1   203.4   137.8   196.4   215.7   317.4   362.3   387.6   405.2   429.4   460.0   508.3   721.1  2737.7  9545.3  13455.0    13444
read      777.9  1262.9   127.6   204.2   226.5   333.9   410.8   485.2   581.4   956.7  2111.8  3642.4  6600.7  9306.3 14260.5  72187.4    72057
