Random waveform, supplied seed
Total number of intervals = 330 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498)
Average QPS expected = 57280
Timestamp start: 1778962964068
Timestamp end: 1778964614449

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      325.2   117.4   137.8   192.0   208.8   315.0   358.7   382.4   399.4   421.0   447.9   489.6   589.7  1335.2  3313.2  32476.4    32442
read      323.7   132.6   127.6   182.8   197.1   296.6   351.6   384.0   407.7   438.5   481.6   556.1   730.3  1098.5  3164.5  73131.4    73039
read      317.7   121.8   127.6   182.6   196.8   294.6   347.8   378.6   400.9   429.5   466.6   527.0   666.0  1080.8  2345.1  73999.2    74055
read      320.6   110.6   127.6   184.6   199.3   306.1   358.1   386.3   406.0   430.6   461.7   507.4   618.2   778.9  2146.9  51076.8    51197
read      318.7   124.5   127.6   181.8   196.3   299.3   353.2   383.0   404.1   431.1   465.0   517.5   636.3   985.9  3246.3  59562.4    59442
read      322.1   107.8   127.6   188.4   204.5   314.3   358.5   382.0   398.8   420.1   447.1   488.3   576.8   790.2  2729.8  35622.4    35654
read      320.5   134.2   127.6   181.8   196.2   294.3   348.4   380.1   403.0   433.0   472.7   542.0   693.0  1288.8  3426.2  78986.8    78747
read      321.9   116.8   127.6   185.8   201.5   310.4   359.7   386.3   404.5   428.0   457.0   499.4   593.3   746.8  4523.3  42273.0    42212
read      317.3   113.4   127.6   181.9   196.7   302.1   354.2   382.5   402.4   427.7   459.4   505.0   615.7   767.1  1597.0  52664.8    52488
read      321.6   100.1   137.8   188.1   203.8   313.8   359.3   383.5   400.2   421.6   448.4   489.7   578.4   777.2  2405.2  36898.0    36950
read      341.2   153.8   137.8   197.4   216.6   321.3   368.1   394.9   414.7   437.7   468.5   521.2   712.6  1868.7  4341.3  16688.2    16762
read      445.5   705.3   127.6   186.1   202.1   304.9   362.0   397.0   426.3   465.0   529.1   765.4  4158.3  8032.4 10063.4  79479.4    79473
read      315.2   118.6   127.6   180.8   195.1   295.6   349.0   378.2   399.3   425.8   459.6   509.3   632.5  1072.7  2853.1  61341.2    61431
read      327.5   156.7   127.6   182.5   197.3   295.4   350.2   383.3   408.2   441.5   489.7   574.0   790.8  1663.9  3716.7  87259.0    87172
read      398.7   342.5   127.6   191.6   208.9   309.2   362.7   399.5   434.2   494.5   624.6   969.6  1943.5  3307.4  7708.2 108066.2   108181
read      321.5   131.5   127.6   181.9   196.5   295.5   349.6   381.1   403.8   434.3   475.0   545.5   707.8  1253.4  3285.7  80545.2    80515
read      323.5   106.5   127.6   188.3   204.4   314.7   361.4   386.3   403.2   425.6   453.1   493.8   583.7   748.6  2259.1  37326.0    37149
read      332.9   142.0   137.8   197.8   216.7   317.6   361.5   385.8   402.5   425.3   453.7   496.9   636.2  1869.7  4984.1  13525.8    13444
read      682.6  1152.5   127.6   193.7   212.8   319.4   387.1   436.0   485.8   592.7  1528.2  3305.0  6095.0  9180.4 11498.2  71951.0    72057
